Report Date:,10/7/2015 3:10:04 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,AB-2_30m_monitoring_2015-10-07_15-09-53-346.wsl
Create Date,10/7/2015 3:09:50 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361442
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,AB-2_30m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1972 (m)
,Head Pressure:,14.4893 (PSI)
,Temperature:,25.0662 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:09:06 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,361442,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361442                   ,SN#: 361442                   ,SN#: 361442                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.535,                        27.284,                        10.230,
6/16/2015 10:00:00 AM,       1.000,                        14.521,                        27.044,                        10.220,
6/16/2015 11:00:00 AM,       2.000,                        14.516,                        26.707,                        10.216,
6/16/2015 12:00:00 PM,       3.000,                        14.525,                        26.322,                        10.222,
6/16/2015 1:00:00 PM ,       4.000,                        14.500,                        26.081,                        10.205,
6/16/2015 2:00:00 PM ,       5.000,                        14.490,                        25.888,                        10.198,
6/16/2015 3:00:00 PM ,       6.000,                        14.511,                        25.840,                        10.212,
6/16/2015 4:00:00 PM ,       7.000,                        14.491,                        25.695,                        10.198,
6/16/2015 5:00:00 PM ,       8.000,                        14.469,                        25.405,                        10.183,
6/16/2015 6:00:00 PM ,       9.000,                        14.487,                        25.163,                        10.196,
6/16/2015 7:00:00 PM ,      10.000,                        14.502,                        24.969,                        10.206,
6/16/2015 8:00:00 PM ,      11.000,                        14.512,                        24.630,                        10.213,
6/16/2015 9:00:00 PM ,      12.000,                        14.516,                        24.436,                        10.216,
6/16/2015 10:00:00 PM,      13.000,                        14.526,                        24.872,                        10.223,
6/16/2015 11:00:00 PM,      14.000,                        14.525,                        25.308,                        10.222,
6/17/2015 12:00:00 AM,      15.000,                        14.510,                        25.792,                        10.212,
6/17/2015 1:00:00 AM ,      16.000,                        14.527,                        26.178,                        10.223,
6/17/2015 2:00:00 AM ,      17.000,                        14.520,                        26.467,                        10.219,
6/17/2015 3:00:00 AM ,      18.000,                        14.517,                        26.756,                        10.217,
6/17/2015 4:00:00 AM ,      19.000,                        14.516,                        26.948,                        10.216,
6/17/2015 5:00:00 AM ,      20.000,                        14.522,                        27.092,                        10.220,
6/17/2015 6:00:00 AM ,      21.000,                        14.517,                        27.236,                        10.216,
6/17/2015 7:00:00 AM ,      22.000,                        14.522,                        27.332,                        10.220,
6/17/2015 8:00:00 AM ,      23.000,                        14.545,                        27.476,                        10.236,
6/17/2015 9:00:00 AM ,      24.000,                        14.520,                        27.476,                        10.219,
6/17/2015 10:00:00 AM,      25.000,                        14.523,                        27.188,                        10.221,
6/17/2015 11:00:00 AM,      26.000,                        14.506,                        26.515,                        10.209,
6/17/2015 12:00:00 PM,      27.000,                        14.508,                        25.888,                        10.210,
6/17/2015 1:00:00 PM ,      28.000,                        14.495,                        25.453,                        10.201,
6/17/2015 2:00:00 PM ,      29.000,                        14.472,                        25.115,                        10.185,
6/17/2015 3:00:00 PM ,      30.000,                        14.479,                        24.872,                        10.190,
6/17/2015 4:00:00 PM ,      31.000,                        14.480,                        24.630,                        10.190,
6/17/2015 5:00:00 PM ,      32.000,                        14.481,                        24.484,                        10.191,
6/17/2015 6:00:00 PM ,      33.000,                        14.455,                        24.387,                        10.173,
6/17/2015 7:00:00 PM ,      34.000,                        14.489,                        24.290,                        10.197,
6/17/2015 8:00:00 PM ,      35.000,                        14.481,                        23.998,                        10.192,
6/17/2015 9:00:00 PM ,      36.000,                        14.503,                        23.755,                        10.207,
6/17/2015 10:00:00 PM,      37.000,                        14.495,                        23.462,                        10.201,
6/17/2015 11:00:00 PM,      38.000,                        14.501,                        23.365,                        10.206,
6/18/2015 12:00:00 AM,      39.000,                        14.522,                        23.803,                        10.220,
6/18/2015 1:00:00 AM ,      40.000,                        14.501,                        24.338,                        10.205,
6/18/2015 2:00:00 AM ,      41.000,                        14.502,                        24.727,                        10.206,
6/18/2015 3:00:00 AM ,      42.000,                        14.533,                        25.115,                        10.228,
6/18/2015 4:00:00 AM ,      43.000,                        14.530,                        25.405,                        10.226,
6/18/2015 5:00:00 AM ,      44.000,                        14.523,                        25.695,                        10.221,
6/18/2015 6:00:00 AM ,      45.000,                        14.526,                        25.888,                        10.223,
6/18/2015 7:00:00 AM ,      46.000,                        14.532,                        26.081,                        10.227,
6/18/2015 8:00:00 AM ,      47.000,                        14.548,                        26.178,                        10.239,
6/18/2015 9:00:00 AM ,      48.000,                        14.542,                        26.226,                        10.234,
6/18/2015 10:00:00 AM,      49.000,                        14.533,                        26.129,                        10.228,
6/18/2015 11:00:00 AM,      50.000,                        14.519,                        26.129,                        10.218,
6/18/2015 12:00:00 PM,      51.000,                        14.523,                        26.178,                        10.221,
6/18/2015 1:00:00 PM ,      52.000,                        14.521,                        26.274,                        10.219,
6/18/2015 2:00:00 PM ,      53.000,                        14.520,                        25.936,                        10.218,
6/18/2015 3:00:00 PM ,      54.000,                        14.491,                        25.453,                        10.199,
6/18/2015 4:00:00 PM ,      55.000,                        14.507,                        25.066,                        10.210,
6/18/2015 5:00:00 PM ,      56.000,                        14.486,                        24.824,                        10.195,
6/18/2015 6:00:00 PM ,      57.000,                        14.505,                        24.630,                        10.208,
6/18/2015 7:00:00 PM ,      58.000,                        14.508,                        24.581,                        10.210,
6/18/2015 8:00:00 PM ,      59.000,                        14.525,                        24.775,                        10.222,
6/18/2015 9:00:00 PM ,      60.000,                        14.553,                        25.018,                        10.242,
6/18/2015 10:00:00 PM,      61.000,                        14.556,                        25.211,                        10.244,
6/18/2015 11:00:00 PM,      62.000,                        14.570,                        25.453,                        10.254,
6/19/2015 12:00:00 AM,      63.000,                        14.538,                        25.695,                        10.231,
6/19/2015 1:00:00 AM ,      64.000,                        14.540,                        25.888,                        10.233,
6/19/2015 2:00:00 AM ,      65.000,                        14.567,                        25.985,                        10.252,
6/19/2015 3:00:00 AM ,      66.000,                        14.554,                        26.081,                        10.243,
6/19/2015 4:00:00 AM ,      67.000,                        14.569,                        26.129,                        10.253,
6/19/2015 5:00:00 AM ,      68.000,                        14.548,                        26.178,                        10.239,
6/19/2015 6:00:00 AM ,      69.000,                        14.566,                        26.178,                        10.251,
6/19/2015 7:00:00 AM ,      70.000,                        14.574,                        26.226,                        10.257,
6/19/2015 8:00:00 AM ,      71.000,                        14.577,                        26.226,                        10.259,
6/19/2015 9:00:00 AM ,      72.000,                        14.588,                        26.226,                        10.267,
6/19/2015 10:00:00 AM,      73.000,                        14.575,                        25.840,                        10.258,
6/19/2015 11:00:00 AM,      74.000,                        14.566,                        25.163,                        10.251,
6/19/2015 12:00:00 PM,      75.000,                        14.563,                        24.484,                        10.249,
6/19/2015 1:00:00 PM ,      76.000,                        14.550,                        24.047,                        10.240,
6/19/2015 2:00:00 PM ,      77.000,                        14.554,                        23.852,                        10.243,
6/19/2015 3:00:00 PM ,      78.000,                        14.528,                        23.755,                        10.224,
6/19/2015 4:00:00 PM ,      79.000,                        14.535,                        23.706,                        10.229,
6/19/2015 5:00:00 PM ,      80.000,                        14.503,                        23.755,                        10.207,
6/19/2015 6:00:00 PM ,      81.000,                        14.522,                        23.803,                        10.220,
6/19/2015 7:00:00 PM ,      82.000,                        14.532,                        23.803,                        10.227,
6/19/2015 8:00:00 PM ,      83.000,                        14.544,                        24.095,                        10.235,
6/19/2015 9:00:00 PM ,      84.000,                        14.548,                        24.630,                        10.238,
6/19/2015 10:00:00 PM,      85.000,                        14.559,                        25.163,                        10.246,
6/19/2015 11:00:00 PM,      86.000,                        14.575,                        25.550,                        10.257,
