Report Date:,10/7/2015 4:46:40 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,IB-1_10m_monitoring_2015-10-07_16-46-11-080.wsl
Create Date,10/7/2015 4:46:08 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361607
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,IB-1_10m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.2147 (m)
,Head Pressure:,14.5142 (PSI)
,Temperature:,24.6029 (C)



Log Notes:
Date and Time,Note
10/7/2015 4:45:08 PM ,Manual Stop Command


Log Data:
Record Count,2720

Sensors,1

 ,1,361607,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361607                   ,SN#: 361607                   ,SN#: 361607                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.527,                        27.225,                        10.224,
6/16/2015 10:00:00 AM,       1.000,                        14.539,                        26.983,                        10.232,
6/16/2015 11:00:00 AM,       2.000,                        14.503,                        26.645,                        10.207,
6/16/2015 12:00:00 PM,       3.000,                        14.510,                        26.306,                        10.212,
6/16/2015 1:00:00 PM ,       4.000,                        14.496,                        26.112,                        10.202,
6/16/2015 2:00:00 PM ,       5.000,                        14.508,                        25.917,                        10.210,
6/16/2015 3:00:00 PM ,       6.000,                        14.473,                        25.869,                        10.186,
6/16/2015 4:00:00 PM ,       7.000,                        14.489,                        25.626,                        10.197,
6/16/2015 5:00:00 PM ,       8.000,                        14.488,                        25.383,                        10.196,
6/16/2015 6:00:00 PM ,       9.000,                        14.487,                        25.139,                        10.195,
6/16/2015 7:00:00 PM ,      10.000,                        14.507,                        24.896,                        10.210,
6/16/2015 8:00:00 PM ,      11.000,                        14.501,                        24.505,                        10.205,
6/16/2015 9:00:00 PM ,      12.000,                        14.505,                        24.456,                        10.208,
6/16/2015 10:00:00 PM,      13.000,                        14.511,                        24.847,                        10.213,
6/16/2015 11:00:00 PM,      14.000,                        14.548,                        25.334,                        10.238,
6/17/2015 12:00:00 AM,      15.000,                        14.554,                        25.772,                        10.243,
6/17/2015 1:00:00 AM ,      16.000,                        14.522,                        26.160,                        10.220,
6/17/2015 2:00:00 AM ,      17.000,                        14.541,                        26.499,                        10.233,
6/17/2015 3:00:00 AM ,      18.000,                        14.534,                        26.790,                        10.228,
6/17/2015 4:00:00 AM ,      19.000,                        14.522,                        26.935,                        10.220,
6/17/2015 5:00:00 AM ,      20.000,                        14.505,                        27.080,                        10.208,
6/17/2015 6:00:00 AM ,      21.000,                        14.506,                        27.225,                        10.209,
6/17/2015 7:00:00 AM ,      22.000,                        14.532,                        27.321,                        10.227,
6/17/2015 8:00:00 AM ,      23.000,                        14.554,                        27.466,                        10.243,
6/17/2015 9:00:00 AM ,      24.000,                        14.503,                        27.466,                        10.207,
6/17/2015 10:00:00 AM,      25.000,                        14.522,                        27.080,                        10.220,
6/17/2015 11:00:00 AM,      26.000,                        14.523,                        26.451,                        10.221,
6/17/2015 12:00:00 PM,      27.000,                        14.511,                        25.772,                        10.213,
6/17/2015 1:00:00 PM ,      28.000,                        14.514,                        25.383,                        10.214,
6/17/2015 2:00:00 PM ,      29.000,                        14.495,                        25.042,                        10.201,
6/17/2015 3:00:00 PM ,      30.000,                        14.472,                        24.749,                        10.185,
6/17/2015 4:00:00 PM ,      31.000,                        14.463,                        24.554,                        10.178,
6/17/2015 5:00:00 PM ,      32.000,                        14.479,                        24.408,                        10.190,
6/17/2015 6:00:00 PM ,      33.000,                        14.474,                        24.310,                        10.187,
6/17/2015 7:00:00 PM ,      34.000,                        14.495,                        24.212,                        10.201,
6/17/2015 8:00:00 PM ,      35.000,                        14.498,                        23.967,                        10.203,
6/17/2015 9:00:00 PM ,      36.000,                        14.505,                        23.673,                        10.208,
6/17/2015 10:00:00 PM,      37.000,                        14.521,                        23.379,                        10.220,
6/17/2015 11:00:00 PM,      38.000,                        14.538,                        23.330,                        10.231,
6/18/2015 12:00:00 AM,      39.000,                        14.545,                        23.820,                        10.236,
6/18/2015 1:00:00 AM ,      40.000,                        14.530,                        24.310,                        10.226,
6/18/2015 2:00:00 AM ,      41.000,                        14.523,                        24.701,                        10.221,
6/18/2015 3:00:00 AM ,      42.000,                        14.538,                        25.139,                        10.232,
6/18/2015 4:00:00 AM ,      43.000,                        14.514,                        25.431,                        10.215,
6/18/2015 5:00:00 AM ,      44.000,                        14.515,                        25.675,                        10.215,
6/18/2015 6:00:00 AM ,      45.000,                        14.551,                        25.869,                        10.240,
6/18/2015 7:00:00 AM ,      46.000,                        14.551,                        26.015,                        10.241,
6/18/2015 8:00:00 AM ,      47.000,                        14.556,                        26.112,                        10.244,
6/18/2015 9:00:00 AM ,      48.000,                        14.535,                        26.209,                        10.229,
6/18/2015 10:00:00 AM,      49.000,                        14.556,                        26.112,                        10.244,
6/18/2015 11:00:00 AM,      50.000,                        14.539,                        26.112,                        10.232,
6/18/2015 12:00:00 PM,      51.000,                        14.522,                        26.160,                        10.220,
6/18/2015 1:00:00 PM ,      52.000,                        14.535,                        26.257,                        10.230,
6/18/2015 2:00:00 PM ,      53.000,                        14.533,                        25.820,                        10.228,
6/18/2015 3:00:00 PM ,      54.000,                        14.501,                        25.383,                        10.205,
6/18/2015 4:00:00 PM ,      55.000,                        14.508,                        24.993,                        10.210,
6/18/2015 5:00:00 PM ,      56.000,                        14.481,                        24.798,                        10.191,
6/18/2015 6:00:00 PM ,      57.000,                        14.510,                        24.603,                        10.212,
6/18/2015 7:00:00 PM ,      58.000,                        14.531,                        24.554,                        10.227,
6/18/2015 8:00:00 PM ,      59.000,                        14.515,                        24.749,                        10.215,
6/18/2015 9:00:00 PM ,      60.000,                        14.542,                        24.993,                        10.234,
6/18/2015 10:00:00 PM,      61.000,                        14.560,                        25.188,                        10.247,
6/18/2015 11:00:00 PM,      62.000,                        14.557,                        25.431,                        10.245,
6/19/2015 12:00:00 AM,      63.000,                        14.550,                        25.675,                        10.240,
6/19/2015 1:00:00 AM ,      64.000,                        14.572,                        25.869,                        10.255,
6/19/2015 2:00:00 AM ,      65.000,                        14.568,                        26.015,                        10.253,
6/19/2015 3:00:00 AM ,      66.000,                        14.564,                        26.063,                        10.250,
6/19/2015 4:00:00 AM ,      67.000,                        14.573,                        26.112,                        10.256,
6/19/2015 5:00:00 AM ,      68.000,                        14.578,                        26.160,                        10.259,
6/19/2015 6:00:00 AM ,      69.000,                        14.543,                        26.112,                        10.235,
6/19/2015 7:00:00 AM ,      70.000,                        14.578,                        26.160,                        10.259,
6/19/2015 8:00:00 AM ,      71.000,                        14.587,                        26.209,                        10.266,
6/19/2015 9:00:00 AM ,      72.000,                        14.604,                        26.209,                        10.278,
6/19/2015 10:00:00 AM,      73.000,                        14.610,                        25.772,                        10.282,
6/19/2015 11:00:00 AM,      74.000,                        14.576,                        25.042,                        10.259,
6/19/2015 12:00:00 PM,      75.000,                        14.560,                        24.408,                        10.247,
6/19/2015 1:00:00 PM ,      76.000,                        14.550,                        24.016,                        10.240,
6/19/2015 2:00:00 PM ,      77.000,                        14.558,                        23.869,                        10.245,
6/19/2015 3:00:00 PM ,      78.000,                        14.561,                        23.722,                        10.248,
6/19/2015 4:00:00 PM ,      79.000,                        14.544,                        23.673,                        10.236,
6/19/2015 5:00:00 PM ,      80.000,                        14.540,                        23.722,                        10.233,
6/19/2015 6:00:00 PM ,      81.000,                        14.536,                        23.771,                        10.230,
6/19/2015 7:00:00 PM ,      82.000,                        14.536,                        23.771,                        10.230,
6/19/2015 8:00:00 PM ,      83.000,                        14.529,                        24.163,                        10.225,
6/19/2015 9:00:00 PM ,      84.000,                        14.566,                        24.652,                        10.251,
6/19/2015 10:00:00 PM,      85.000,                        14.556,                        25.139,                        10.244,
6/19/2015 11:00:00 PM,      86.000,                        14.587,                        25.529,                        10.266,
