Report Date:,10/7/2015 2:44:46 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,DB-2_50m_monitoring_2015-10-07_14-44-31-944.wsl
Create Date,10/7/2015 2:44:29 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361646
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,DB-2_50m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1154 (m)
,Head Pressure:,14.3731 (PSI)
,Temperature:,25.1055 (C)



Log Notes:
Date and Time,Note
10/7/2015 2:43:39 PM ,Manual Stop Command


Log Data:
Record Count,2718

Sensors,1

 ,1,361646,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361646                   ,SN#: 361646                   ,SN#: 361646                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.415,                        27.383,                        10.145,
6/16/2015 10:00:00 AM,       1.000,                        14.395,                        26.949,                        10.131,
6/16/2015 11:00:00 AM,       2.000,                        14.400,                        26.562,                        10.134,
6/16/2015 12:00:00 PM,       3.000,                        14.392,                        26.368,                        10.128,
6/16/2015 1:00:00 PM ,       4.000,                        14.377,                        26.174,                        10.118,
6/16/2015 2:00:00 PM ,       5.000,                        14.359,                        26.077,                        10.106,
6/16/2015 3:00:00 PM ,       6.000,                        14.344,                        25.883,                        10.095,
6/16/2015 4:00:00 PM ,       7.000,                        14.350,                        25.203,                        10.099,
6/16/2015 5:00:00 PM ,       8.000,                        14.344,                        24.764,                        10.095,
6/16/2015 6:00:00 PM ,       9.000,                        14.375,                        24.423,                        10.117,
6/16/2015 7:00:00 PM ,      10.000,                        14.374,                        24.179,                        10.116,
6/16/2015 8:00:00 PM ,      11.000,                        14.391,                        23.640,                        10.128,
6/16/2015 9:00:00 PM ,      12.000,                        14.386,                        24.032,                        10.125,
6/16/2015 10:00:00 PM,      13.000,                        14.406,                        24.911,                        10.138,
6/16/2015 11:00:00 PM,      14.000,                        14.396,                        25.543,                        10.132,
6/17/2015 12:00:00 AM,      15.000,                        14.414,                        26.126,                        10.144,
6/17/2015 1:00:00 AM ,      16.000,                        14.399,                        26.465,                        10.134,
6/17/2015 2:00:00 AM ,      17.000,                        14.394,                        26.755,                        10.130,
6/17/2015 3:00:00 AM ,      18.000,                        14.375,                        26.997,                        10.117,
6/17/2015 4:00:00 AM ,      19.000,                        14.390,                        27.142,                        10.127,
6/17/2015 5:00:00 AM ,      20.000,                        14.380,                        27.238,                        10.121,
6/17/2015 6:00:00 AM ,      21.000,                        14.408,                        27.335,                        10.140,
6/17/2015 7:00:00 AM ,      22.000,                        14.388,                        27.383,                        10.126,
6/17/2015 8:00:00 AM ,      23.000,                        14.382,                        27.528,                        10.122,
6/17/2015 9:00:00 AM ,      24.000,                        14.385,                        27.479,                        10.124,
6/17/2015 10:00:00 AM,      25.000,                        14.375,                        26.465,                        10.117,
6/17/2015 11:00:00 AM,      26.000,                        14.378,                        25.349,                        10.119,
6/17/2015 12:00:00 PM,      27.000,                        14.363,                        24.667,                        10.109,
6/17/2015 1:00:00 PM ,      28.000,                        14.358,                        24.423,                        10.105,
6/17/2015 2:00:00 PM ,      29.000,                        14.350,                        24.179,                        10.099,
6/17/2015 3:00:00 PM ,      30.000,                        14.345,                        23.983,                        10.096,
6/17/2015 4:00:00 PM ,      31.000,                        14.338,                        23.885,                        10.091,
6/17/2015 5:00:00 PM ,      32.000,                        14.351,                        23.836,                        10.100,
6/17/2015 6:00:00 PM ,      33.000,                        14.341,                        23.787,                        10.093,
6/17/2015 7:00:00 PM ,      34.000,                        14.354,                        23.689,                        10.102,
6/17/2015 8:00:00 PM ,      35.000,                        14.375,                        23.297,                        10.117,
6/17/2015 9:00:00 PM ,      36.000,                        14.386,                        22.904,                        10.124,
6/17/2015 10:00:00 PM,      37.000,                        14.374,                        22.658,                        10.116,
6/17/2015 11:00:00 PM,      38.000,                        14.410,                        23.003,                        10.142,
6/18/2015 12:00:00 AM,      39.000,                        14.379,                        23.885,                        10.119,
6/18/2015 1:00:00 AM ,      40.000,                        14.387,                        24.569,                        10.125,
6/18/2015 2:00:00 AM ,      41.000,                        14.373,                        25.057,                        10.115,
6/18/2015 3:00:00 AM ,      42.000,                        14.399,                        25.446,                        10.134,
6/18/2015 4:00:00 AM ,      43.000,                        14.398,                        25.738,                        10.133,
6/18/2015 5:00:00 AM ,      44.000,                        14.399,                        25.932,                        10.134,
6/18/2015 6:00:00 AM ,      45.000,                        14.403,                        26.077,                        10.137,
6/18/2015 7:00:00 AM ,      46.000,                        14.397,                        26.174,                        10.132,
6/18/2015 8:00:00 AM ,      47.000,                        14.425,                        26.320,                        10.152,
6/18/2015 9:00:00 AM ,      48.000,                        14.404,                        26.223,                        10.137,
6/18/2015 10:00:00 AM,      49.000,                        14.413,                        26.029,                        10.144,
6/18/2015 11:00:00 AM,      50.000,                        14.407,                        26.077,                        10.139,
6/18/2015 12:00:00 PM,      51.000,                        14.380,                        26.126,                        10.120,
6/18/2015 1:00:00 PM ,      52.000,                        14.390,                        26.077,                        10.127,
6/18/2015 2:00:00 PM ,      53.000,                        14.404,                        25.154,                        10.137,
6/18/2015 3:00:00 PM ,      54.000,                        14.376,                        24.472,                        10.117,
6/18/2015 4:00:00 PM ,      55.000,                        14.371,                        24.227,                        10.114,
6/18/2015 5:00:00 PM ,      56.000,                        14.367,                        24.130,                        10.111,
6/18/2015 6:00:00 PM ,      57.000,                        14.373,                        23.983,                        10.115,
6/18/2015 7:00:00 PM ,      58.000,                        14.387,                        24.179,                        10.125,
6/18/2015 8:00:00 PM ,      59.000,                        14.380,                        24.667,                        10.121,
6/18/2015 9:00:00 PM ,      60.000,                        14.403,                        25.008,                        10.137,
6/18/2015 10:00:00 PM,      61.000,                        14.425,                        25.300,                        10.152,
6/18/2015 11:00:00 PM,      62.000,                        14.411,                        25.640,                        10.142,
6/19/2015 12:00:00 AM,      63.000,                        14.429,                        25.883,                        10.155,
6/19/2015 1:00:00 AM ,      64.000,                        14.430,                        26.029,                        10.156,
6/19/2015 2:00:00 AM ,      65.000,                        14.438,                        26.126,                        10.161,
6/19/2015 3:00:00 AM ,      66.000,                        14.441,                        26.174,                        10.163,
6/19/2015 4:00:00 AM ,      67.000,                        14.431,                        26.126,                        10.156,
6/19/2015 5:00:00 AM ,      68.000,                        14.442,                        26.223,                        10.164,
6/19/2015 6:00:00 AM ,      69.000,                        14.441,                        26.174,                        10.163,
6/19/2015 7:00:00 AM ,      70.000,                        14.438,                        26.174,                        10.161,
6/19/2015 8:00:00 AM ,      71.000,                        14.452,                        26.223,                        10.171,
6/19/2015 9:00:00 AM ,      72.000,                        14.458,                        26.174,                        10.175,
6/19/2015 10:00:00 AM,      73.000,                        14.444,                        25.008,                        10.165,
6/19/2015 11:00:00 AM,      74.000,                        14.467,                        23.934,                        10.182,
6/19/2015 12:00:00 PM,      75.000,                        14.446,                        23.248,                        10.167,
6/19/2015 1:00:00 PM ,      76.000,                        14.435,                        23.150,                        10.159,
6/19/2015 2:00:00 PM ,      77.000,                        14.425,                        23.248,                        10.152,
6/19/2015 3:00:00 PM ,      78.000,                        14.422,                        23.199,                        10.150,
6/19/2015 4:00:00 PM ,      79.000,                        14.426,                        23.346,                        10.153,
6/19/2015 5:00:00 PM ,      80.000,                        14.409,                        23.395,                        10.141,
6/19/2015 6:00:00 PM ,      81.000,                        14.403,                        23.444,                        10.136,
6/19/2015 7:00:00 PM ,      82.000,                        14.417,                        23.444,                        10.146,
6/19/2015 8:00:00 PM ,      83.000,                        14.439,                        24.276,                        10.162,
6/19/2015 9:00:00 PM ,      84.000,                        14.427,                        24.959,                        10.153,
6/19/2015 10:00:00 PM,      85.000,                        14.444,                        25.495,                        10.165,
6/19/2015 11:00:00 PM,      86.000,                        14.446,                        25.835,                        10.167,
