Report Date:,10/7/2015 3:37:26 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,SB-1_20m_monitoring_2015-10-07_15-37-15-701.wsl
Create Date,10/7/2015 3:37:13 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361481
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,SB-1_20m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1536 (m)
,Head Pressure:,14.4274 (PSI)
,Temperature:,25.4391 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:36:32 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,361481,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361481                   ,SN#: 361481                   ,SN#: 361481                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.442,                        27.388,                        10.164,
6/16/2015 10:00:00 AM,       1.000,                        14.447,                        27.194,                        10.168,
6/16/2015 11:00:00 AM,       2.000,                        14.430,                        26.853,                        10.155,
6/16/2015 12:00:00 PM,       3.000,                        14.440,                        26.513,                        10.162,
6/16/2015 1:00:00 PM ,       4.000,                        14.430,                        26.269,                        10.155,
6/16/2015 2:00:00 PM ,       5.000,                        14.423,                        26.123,                        10.151,
6/16/2015 3:00:00 PM ,       6.000,                        14.401,                        25.977,                        10.135,
6/16/2015 4:00:00 PM ,       7.000,                        14.403,                        25.635,                        10.136,
6/16/2015 5:00:00 PM ,       8.000,                        14.409,                        25.243,                        10.141,
6/16/2015 6:00:00 PM ,       9.000,                        14.404,                        24.900,                        10.137,
6/16/2015 7:00:00 PM ,      10.000,                        14.421,                        24.606,                        10.149,
6/16/2015 8:00:00 PM ,      11.000,                        14.408,                        24.213,                        10.140,
6/16/2015 9:00:00 PM ,      12.000,                        14.420,                        24.164,                        10.148,
6/16/2015 10:00:00 PM,      13.000,                        14.425,                        24.655,                        10.152,
6/16/2015 11:00:00 PM,      14.000,                        14.436,                        25.243,                        10.160,
6/17/2015 12:00:00 AM,      15.000,                        14.433,                        25.781,                        10.158,
6/17/2015 1:00:00 AM ,      16.000,                        14.430,                        26.220,                        10.156,
6/17/2015 2:00:00 AM ,      17.000,                        14.435,                        26.610,                        10.159,
6/17/2015 3:00:00 AM ,      18.000,                        14.461,                        26.853,                        10.177,
6/17/2015 4:00:00 AM ,      19.000,                        14.425,                        27.096,                        10.152,
6/17/2015 5:00:00 AM ,      20.000,                        14.424,                        27.242,                        10.151,
6/17/2015 6:00:00 AM ,      21.000,                        14.439,                        27.339,                        10.162,
6/17/2015 7:00:00 AM ,      22.000,                        14.426,                        27.436,                        10.153,
6/17/2015 8:00:00 AM ,      23.000,                        14.430,                        27.533,                        10.155,
6/17/2015 9:00:00 AM ,      24.000,                        14.445,                        27.582,                        10.166,
6/17/2015 10:00:00 AM,      25.000,                        14.448,                        27.048,                        10.168,
6/17/2015 11:00:00 AM,      26.000,                        14.430,                        26.220,                        10.156,
6/17/2015 12:00:00 PM,      27.000,                        14.431,                        25.488,                        10.156,
6/17/2015 1:00:00 PM ,      28.000,                        14.399,                        25.047,                        10.133,
6/17/2015 2:00:00 PM ,      29.000,                        14.417,                        24.704,                        10.146,
6/17/2015 3:00:00 PM ,      30.000,                        14.391,                        24.459,                        10.128,
6/17/2015 4:00:00 PM ,      31.000,                        14.408,                        24.262,                        10.140,
6/17/2015 5:00:00 PM ,      32.000,                        14.393,                        24.066,                        10.130,
6/17/2015 6:00:00 PM ,      33.000,                        14.390,                        24.016,                        10.127,
6/17/2015 7:00:00 PM ,      34.000,                        14.391,                        23.869,                        10.128,
6/17/2015 8:00:00 PM ,      35.000,                        14.408,                        23.672,                        10.140,
6/17/2015 9:00:00 PM ,      36.000,                        14.421,                        23.376,                        10.149,
6/17/2015 10:00:00 PM,      37.000,                        14.427,                        23.080,                        10.154,
6/17/2015 11:00:00 PM,      38.000,                        14.439,                        23.080,                        10.162,
6/18/2015 12:00:00 AM,      39.000,                        14.428,                        23.622,                        10.154,
6/18/2015 1:00:00 AM ,      40.000,                        14.423,                        24.311,                        10.151,
6/18/2015 2:00:00 AM ,      41.000,                        14.447,                        24.802,                        10.167,
6/18/2015 3:00:00 AM ,      42.000,                        14.421,                        25.243,                        10.149,
6/18/2015 4:00:00 AM ,      43.000,                        14.450,                        25.586,                        10.169,
6/18/2015 5:00:00 AM ,      44.000,                        14.449,                        25.781,                        10.169,
6/18/2015 6:00:00 AM ,      45.000,                        14.435,                        26.025,                        10.159,
6/18/2015 7:00:00 AM ,      46.000,                        14.458,                        26.172,                        10.175,
6/18/2015 8:00:00 AM ,      47.000,                        14.469,                        26.269,                        10.183,
6/18/2015 9:00:00 AM ,      48.000,                        14.461,                        26.318,                        10.177,
6/18/2015 10:00:00 AM,      49.000,                        14.469,                        26.220,                        10.183,
6/18/2015 11:00:00 AM,      50.000,                        14.458,                        26.172,                        10.175,
6/18/2015 12:00:00 PM,      51.000,                        14.462,                        26.172,                        10.178,
6/18/2015 1:00:00 PM ,      52.000,                        14.442,                        26.220,                        10.164,
6/18/2015 2:00:00 PM ,      53.000,                        14.414,                        25.732,                        10.144,
6/18/2015 3:00:00 PM ,      54.000,                        14.433,                        25.145,                        10.158,
6/18/2015 4:00:00 PM ,      55.000,                        14.408,                        24.753,                        10.140,
6/18/2015 5:00:00 PM ,      56.000,                        14.421,                        24.557,                        10.149,
6/18/2015 6:00:00 PM ,      57.000,                        14.418,                        24.410,                        10.147,
6/18/2015 7:00:00 PM ,      58.000,                        14.404,                        24.311,                        10.137,
6/18/2015 8:00:00 PM ,      59.000,                        14.448,                        24.655,                        10.168,
6/18/2015 9:00:00 PM ,      60.000,                        14.442,                        24.949,                        10.164,
6/18/2015 10:00:00 PM,      61.000,                        14.472,                        25.194,                        10.185,
6/18/2015 11:00:00 PM,      62.000,                        14.470,                        25.488,                        10.184,
6/19/2015 12:00:00 AM,      63.000,                        14.496,                        25.732,                        10.202,
6/19/2015 1:00:00 AM ,      64.000,                        14.482,                        25.977,                        10.192,
6/19/2015 2:00:00 AM ,      65.000,                        14.486,                        26.074,                        10.195,
6/19/2015 3:00:00 AM ,      66.000,                        14.474,                        26.123,                        10.186,
6/19/2015 4:00:00 AM ,      67.000,                        14.489,                        26.172,                        10.197,
6/19/2015 5:00:00 AM ,      68.000,                        14.489,                        26.172,                        10.197,
6/19/2015 6:00:00 AM ,      69.000,                        14.496,                        26.220,                        10.202,
6/19/2015 7:00:00 AM ,      70.000,                        14.489,                        26.220,                        10.197,
6/19/2015 8:00:00 AM ,      71.000,                        14.484,                        26.269,                        10.194,
6/19/2015 9:00:00 AM ,      72.000,                        14.492,                        26.269,                        10.199,
6/19/2015 10:00:00 AM,      73.000,                        14.508,                        25.635,                        10.210,
6/19/2015 11:00:00 AM,      74.000,                        14.482,                        24.802,                        10.192,
6/19/2015 12:00:00 PM,      75.000,                        14.495,                        24.016,                        10.201,
6/19/2015 1:00:00 PM ,      76.000,                        14.467,                        23.622,                        10.181,
6/19/2015 2:00:00 PM ,      77.000,                        14.456,                        23.475,                        10.174,
6/19/2015 3:00:00 PM ,      78.000,                        14.444,                        23.425,                        10.166,
6/19/2015 4:00:00 PM ,      79.000,                        14.471,                        23.475,                        10.185,
6/19/2015 5:00:00 PM ,      80.000,                        14.460,                        23.475,                        10.176,
6/19/2015 6:00:00 PM ,      81.000,                        14.443,                        23.622,                        10.165,
6/19/2015 7:00:00 PM ,      82.000,                        14.451,                        23.573,                        10.170,
6/19/2015 8:00:00 PM ,      83.000,                        14.448,                        24.016,                        10.168,
6/19/2015 9:00:00 PM ,      84.000,                        14.475,                        24.655,                        10.187,
6/19/2015 10:00:00 PM,      85.000,                        14.491,                        25.194,                        10.199,
6/19/2015 11:00:00 PM,      86.000,                        14.484,                        25.684,                        10.194,
